NEVO-GSPT	A posteriori Training
2096.53759765625	4780.4970703125
2362.778076171875	4366.8271484375
2110.842529296875	3519.597412109375
2067.25634765625	7061.8017578125
2323.142578125	3277.416015625
2150.967529296875	2729.8876953125
1810.912109375	4504.076171875
2193.197509765625	3113.518310546875
1976.087158203125	12629.232421875
1985.0086669921875	4677.27294921875
