Duration,Run ID,Name,compatibility_threshold,dataset,generations,max_conns,max_nodes,pop_size,seed,species_size,survival_threshold,elite_rmse,elite_size,final_model_test_rmse,final_model_train_rmse,iteration_time,test_rmse,train_rmse
7.8min,b768a36e06314963a531a576ba024702,tensorneat:bioav:seed-28,2.5,bioav,1000,241,242,100,28,10,0.2,60.978405,206,73.45116425,60.978405,0.4414024353,100.9502792,60.978405
7.6min,316b3e26d5b44293bf8dc5cf5dcce3a0,tensorneat:bioav:seed-27,2.5,bioav,1000,241,242,100,27,10,0.2,61.82437134,214,69.77998352,61.82437134,0.4263389111,93.9441452,61.82437134
7.8min,b335574cc2f14396acbdf57fa1de3025,tensorneat:bioav:seed-26,2.5,bioav,1000,241,242,100,26,10,0.2,61.90940857,203,69.83009338,61.90941238,0.4270017147,92.01745605,61.90941238
7.6min,f749d9e50dc649b39c5db72b5052de57,tensorneat:bioav:seed-25,2.5,bioav,1000,241,242,100,25,10,0.2,63.60447693,219,65.95219421,63.60447693,0.4217011929,85.52876282,63.60447693
7.6min,24b464a28ab844e99f116e879baf9881,tensorneat:bioav:seed-24,2.5,bioav,1000,241,242,100,24,10,0.2,62.03215027,213,71.83518982,62.03215027,0.4288744926,93.70515442,62.03215027
7.4min,328cf00a3c3a4e1b895360cda3057c90,tensorneat:bioav:seed-23,2.5,bioav,1000,241,242,100,23,10,0.2,60.68410873,219,70.55978394,60.68410873,0.4164042473,106.1457901,60.68410873
7.4min,6464f0dde7ae49f9ae1780a561392953,tensorneat:bioav:seed-22,2.5,bioav,1000,241,242,100,22,10,0.2,61.60368347,221,73.42183685,61.60368729,0.4102144241,92.37947845,61.60368729
7.2min,fdb4497821e74b07ac67e597045740ca,tensorneat:bioav:seed-21,2.5,bioav,1000,241,242,100,21,10,0.2,62.38845062,216,71.43817902,62.38845062,0.407378912,95.11765289,62.38845062
7min,4f8fb1beab2342aaad5bcfef16961c1e,tensorneat:bioav:seed-20,2.5,bioav,1000,241,242,100,20,10,0.2,60.37306595,219,69.18038177,60.37306595,0.3882770538,133.7695618,60.37306595
7.6min,287770179e8345df803c2f43e45939d0,tensorneat:bioav:seed-4,2.5,bioav,1000,241,242,100,4,10,0.2,61.50246811,221,76.50649261,61.50246429,0.4200413227,120.3842087,61.50246429
7.4min,ba50399f6dfc46cb8f8d4bf0a3b03ddd,tensorneat:bioav:seed-3,2.5,bioav,1000,241,242,100,3,10,0.2,60.49300385,212,74.27037811,60.49300385,0.4264676571,124.8806381,60.49300385
7.4min,84893fb891744420887d0ce8aedb6178,tensorneat:bioav:seed-2,2.5,bioav,1000,241,242,100,2,10,0.2,60.05546188,215,76.29174805,60.05545807,0.4196977615,103.5432358,60.05545807
7.2min,1c3436103d604d799e902000d5e150e8,tensorneat:bioav:seed-1,2.5,bioav,1000,241,242,100,1,10,0.2,61.3621521,208,74.17614746,61.3621521,0.4237236977,102.1470261,61.3621521
7min,6e16ed1824e64602a47699b634bf5e94,tensorneat:bioav:seed-0,2.5,bioav,1000,241,242,100,0,10,0.2,58.19176483,208,75.36779785,58.19176483,0.3838396072,145.3409424,58.19176483
