dataset,seed,train_size,test_size,n_classes,protonet_train_mcc,protonet_test_mcc,maml_train_mcc,maml_test_mcc,transductive_train_mcc,transductive_test_mcc
brain_tumor_rn18_10,0,2990,10,2,0.6828429026217245,0.6546536707079772,0.6947511033250658,0.2,0.9097333917628772,1.0
brain_tumor_rn18_250,0,2750,250,2,0.6851061729385268,0.712
brain_tumor_rn34_50,3,2950,50,2,0.7395632211739496,0.7205766921228921
brain_tumor_rn34_50,4,2950,50,2,0.7390976895682897,0.8006407690254356
brain_tumor_rn18_10,1,2990,10,2,0.6820840407602992,0.6546536707079772
brain_tumor_rn34_100,1,2900,100,2,0.7364688995503392,0.8006407690254356
brain_tumor_rn34_100,0,2900,100,2,0.7345514439592559,0.7699188535494524
brain_tumor_rn34_100,2,2900,100,2,0.7359334786609667,0.6821865008193587
brain_tumor_rn34_100,3,2900,100,2,0.7351482139350554,0.8406728074767074
brain_tumor_rn34_100,4,2900,100,2,0.7385113761008174,0.8
brain_tumor_rn34_250,0,2750,250,2,0.7331053061422176,0.7267523746672638
brain_tumor_rn34_250,1,2750,250,2,0.7328469364483893,0.8012573580802617
brain_tumor_rn34_250,2,2750,250,2,0.7359530182473819,0.6756639246921762
brain_tumor_rn34_250,3,2750,250,2,0.7386747450881379,0.7474522322400634
brain_tumor_rn34_500,0,2500,500,2,0.725601340654993,0.7208664153077167
brain_tumor_rn34_250,4,2750,250,2,0.7309530734160811,0.7682212795973759
brain_tumor_rn34_500,1,2500,500,2,0.7421015407306704,0.7282097546183458
brain_tumor_rn34_500,2,2500,500,2,0.731024605303931,0.7239256335987602
brain_tumor_rn34_500,3,2500,500,2,0.739594017726824,0.7413356072232964
brain_tumor_rn34_500,4,2500,500,2,0.7285125048280827,0.7766215459546726
brain_tumor_rn18_50,3,2950,50,2,0.6833157890605001,0.7205766921228921
brain_tumor_rn50_10,1,2990,10,2,0.7923288222443632,0.816496580927726
brain_tumor_rn18_10,3,2990,10,2,0.6841450177998162,0.816496580927726
brain_tumor_rn18_10,2,2990,10,2,0.6841094573830796,0.6546536707079772
brain_tumor_rn50_10,0,2990,10,2,0.7904019747320432,1.0
brain_tumor_rn50_10,2,2990,10,2,0.7916322494521406,0.816496580927726
brain_tumor_rn50_10,4,2990,10,2,0.7916862282846654,0.6
brain_tumor_rn50_10,3,2990,10,2,0.7911000256977866,0.816496580927726
brain_tumor_rn50_50,0,2950,50,2,0.79283599273387,0.8058229640253803
brain_tumor_rn50_50,2,2950,50,2,0.7901746875636801,0.8006407690254356
brain_tumor_rn50_50,1,2950,50,2,0.7875711028502419,0.9229582069908971
brain_tumor_rn50_50,4,2950,50,2,0.7909371860292516,0.7205766921228921
brain_tumor_rn34_10,1,2990,10,2,0.7390741393043362,0.816496580927726
brain_tumor_rn50_50,3,2950,50,2,0.7883378076226821,0.9607689228305227
brain_tumor_rn18_250,3,2750,250,2,0.6863876773807365,0.6885510613618746
brain_tumor_rn50_100,0,2900,100,2,0.7939770203453981,0.7699188535494524
brain_tumor_rn50_100,2,2900,100,2,0.7907709371953668,0.8214799971933825
brain_tumor_rn34_50,0,2950,50,2,0.7382642262966349,0.7699188535494524
brain_tumor_rn34_10,3,2990,10,2,0.7384931122887526,0.6
brain_tumor_rn50_100,1,2900,100,2,0.7943747093812943,0.8025723539051279
brain_tumor_rn50_100,4,2900,100,2,0.790550759886346,0.7814078022083395
brain_tumor_rn50_100,3,2900,100,2,0.7887876548286585,0.92
