concrete_strength,9,5.478973388671875,6.092408180236816
concrete_strength,7,5.80235481262207,5.614056587219238
concrete_strength,4,4.080731391906738,5.057602405548096
concrete_strength,2,3.8114285469055176,5.588877201080322
concrete_strength,3,3.405508518218994,4.819509029388428
concrete_strength,1,4.950910568237305,5.351417064666748
concrete_strength,5,3.8180675506591797,6.301091194152832
concrete_strength,8,4.05565071105957,4.95013952255249
concrete_strength,0,3.359463930130005,5.363967418670654
concrete_strength,6,3.0571913719177246,4.824248790740967
airfoil,8,1.9937551021575928,2.307490110397339
airfoil,0,2.1292431354522705,2.5921645164489746
airfoil,5,1.4621431827545166,1.9388601779937744
airfoil,7,2.5793139934539795,2.798712968826294
airfoil,4,1.7913143634796143,2.01893949508667
airfoil,3,1.608222246170044,1.8815099000930786
airfoil,6,1.4326692819595337,1.9195119142532349
airfoil,2,1.6647816896438599,1.9901115894317627
airfoil,9,2.153656005859375,2.452500343322754
airfoil,1,1.6800692081451416,1.7191622257232666
