brain_tumor_rn18_10_brmse,0.4075506031513214,0.4890001714229584,7900,1,3,0.4890001714229584,-0.2180950197925595,0.6711344122886658,10,0,50.84884262084961
brain_tumor_rn18_10_brmse,0.39105406403541565,0.4937976896762848,3095,1,3,0.4937976896762848,-0.13357016828586848,0.6803250908851624,9,0,49.093355894088745
brain_tumor_rn18_10_brmse,0.4075506031513214,0.4890001714229584,7900,1,3,0.4890001714229584,-0.2180950197925595,0.6711344122886658,10,1,0.5257308483123779
brain_tumor_rn18_10_brmse,0.4075506031513214,0.4890001714229584,7900,1,3,0.4890001714229584,-0.2180950197925595,0.6711344122886658,10,2,0.10179376602172852
brain_tumor_rn18_10_brmse,0.4076197147369385,0.5055786967277527,6353,1,3,0.5055786967277527,0.056785069628475446,0.7044126391410828,16,0,52.72156882286072
brain_tumor_rn18_10_brmse,0.421357125043869,0.4927401840686798,5774,1,3,0.4927401840686798,-0.14632691733584263,0.6784060597419739,1,0,49.67356204986572
brain_tumor_rn18_10_brmse,0.3910199701786041,0.4937562942504883,3617,2,3,0.4937562942504883,-0.1317987979282136,0.6802419424057007,9,1,0.7655315399169922
brain_tumor_rn18_10_brmse,0.4038032293319702,0.4917970895767212,1560,1,3,0.4917970895767212,-0.09049159950246505,0.6755967140197754,25,0,57.66563272476196
brain_tumor_rn18_10_brmse,0.4144097566604614,0.4837958812713623,6355,1,4,0.4837958812713623,-0.2579598861276597,0.6608306765556335,2,0,47.80916976928711
brain_tumor_rn18_10_brmse,0.40752097964286804,0.48899900913238525,8441,2,3,0.48899900913238525,-0.21877795348140383,0.6711324453353882,10,3,1.1025786399841309
brain_tumor_rn18_10_brmse,0.4199700653553009,0.4925006628036499,4265,1,3,0.4925006628036499,-0.21558848160667196,0.6781548261642456,26,0,45.363216400146484
brain_tumor_rn18_10_brmse,0.41505682468414307,0.5106199979782104,7439,1,3,0.5106199979782104,0.09569362825937315,0.7148698568344116,3,0,39.07005763053894
brain_tumor_rn18_10_brmse,0.4076118469238281,0.5055791735649109,6893,2,3,0.5055791735649109,0.05746692003152646,0.7044135332107544,16,1,0.790194034576416
brain_tumor_rn18_10_brmse,0.421357125043869,0.4927401840686798,5774,1,3,0.4927401840686798,-0.14632691733584263,0.6784060597419739,1,1,0.9543123245239258
brain_tumor_rn18_10_brmse,0.40362486243247986,0.4917748272418976,2081,2,3,0.4917748272418976,-0.09049159950246505,0.675544798374176,25,1,0.10614132881164551
brain_tumor_rn18_10_brmse,0.4144097566604614,0.4837958812713623,6355,1,4,0.4837958812713623,-0.2579598861276597,0.6608306765556335,2,1,0.1275789737701416
brain_tumor_rn18_10_brmse,0.4144097566604614,0.4837958812713623,6355,1,4,0.4837958812713623,-0.2579598861276597,0.6608306765556335,2,2,0.08382058143615723
brain_tumor_rn18_10_brmse,0.3910199701786041,0.4937562942504883,3617,2,3,0.4937562942504883,-0.1317987979282136,0.6802419424057007,9,2,1.0056180953979492
brain_tumor_rn18_10_brmse,0.4199700653553009,0.4925006628036499,4265,1,3,0.4925006628036499,-0.21558848160667196,0.6781548261642456,26,1,0.24557733535766602
brain_tumor_rn18_10_brmse,0.41505682468414307,0.5106199979782104,7439,1,3,0.5106199979782104,0.09569362825937315,0.7148698568344116,3,1,0.46078038215637207
