NEVO-GSPT	TNEAT	SLM
1704	276.0	4368
1880	273.0	4368
1512	187.0	5384
1668	162.0	3084
1672	252.0	3908
1684	171.0	4860
1628	646.0	4368
1812	136.0	4368
1692	112.0	4368
1764	378.0	3908
1704	96.0	3084
1352	60.0	5384
1928	153.0	4860
1632	228.0	4860
1672	85.0	4368
1720	300.0	3908
1464	153.0	5384
1628	200.0	3084
1880	400.0	3480
1720	65.0	3908
1352	250.0	4368
1512	105.0	3480
1672	162.0	4860
1692	198.0	3480
1684	200.0	3908
1668	128.0	3908
1812	180.0	4368
1632	345.0	4860
1672	322.0	4368
1764	162.0	4860
