NEVO-GSPT	NN	NN_w_DOut	TNEAT	SLIM	SLM
2089.294677734375	1974.3236083984373	2200.4521484375	2925.245361	2057.96630859375	2029.4979248046875
1817.741455078125	2421.60791015625	2183.753173828125	2546.804932	1802.5712890625	1995.5155029296875
2157.575439453125	1713.4742431640625	1946.25146484375	2536.796143	2008.5340576171875	2337.48046875
2105.088623046875	2160.19580078125	2417.264404296875	2352.584473	1998.5101318359373	2168.896240234375
2316.147705078125	2003.0079345703125	1766.9454345703125	3010.414307	2281.399658203125	1904.5020751953125
2366.279052734375	2264.399169921875	2738.906982421875	2800.100342	2251.694580078125	2291.655517578125
2118.63916015625	1828.26220703125	2547.681396484375	2589.875	1865.068359375	1717.751220703125
1971.255126953125	1993.81591796875	2220.229736328125	2846.158691	2075.50927734375	2401.426025390625
2055.628662109375	2072.413818359375	3158.513916015625	2328.428467	1978.6226806640625	1704.84814453125
2179.133544921875	2241.98193359375	2216.720458984375	3139.745117	2263.9462890625	2623.973876953125
1783.5128173828125	1926.4747314453125	2325.675537109375	2478.405762	1966.5091552734373	2045.3251953125
2537.50146484375	2477.619873046875	2300.885498046875	2180.819092	2404.603515625	1635.8311767578125
2127.606689453125	2116.47021484375	2563.788818359375	2399.331299	2124.120361328125	1844.9996337890625
1959.5118408203125	2672.58984375	2087.603271484375	2699.446533	1933.9757080078125	1665.5465087890625
2214.8916015625	2575.217529296875	1673.5443115234375	2851.127441	2065.26416015625	2235.31494140625
2289.813720703125	2193.797119140625	2092.626953125	2625.072998	2178.9296875	1701.6827392578125
2416.25439453125	2281.897705078125	2277.42431640625	2790.616699	2257.1259765625	2186.171875
1724.3951416015625	1644.7081298828125	2292.3427734375	2041.548462	1800.6561279296875	1967.7908935546875
1798.800048828125	2006.5198974609373	2089.018310546875	2049.54248	2100.31005859375	2016.5130615234373
1912.4525146484373	1865.5081787109373	1784.429443359375	2399.662109	1902.6771240234373	2167.56298828125
2255.171630859375	2776.009521484375	2104.302490234375	1872.336304	2156.040771484375	1736.305908203125
2135.340576171875	2130.595458984375	2854.489990234375	2931.274902	2233.11181640625	2216.90576171875
2275.814208984375	2092.542236328125	2032.8642578125	2754.632813	2333.9287109375	11219.5380859375
2140.850341796875	2059.477783203125	2059.9638671875	2683.147217	2076.23779296875	2793.18798828125
1921.7542724609373	1836.1292724609373	2224.031005859375	2613.806396	1789.3909912109375	1883.4713134765625
1655.9180908203125	1676.836181640625	2600.5849609375	2695.516602	1866.154296875	1917.2392578125
1873.6219482421875	2459.396484375	2459.993896484375	3174.320557	1946.7032470703125	2021.46923828125
2447.385498046875	2458.219482421875	2298.05859375	2482.51416	2362.29296875	1953.1383056640625
1903.7913818359373	1874.2081298828125	2297.76171875	2536.552979	1882.9500732421875	1579.341064453125
2134.49365234375	2233.615234375	2374.967529296875	3174.320557	2275.531005859375	1768.163330078125
