NEVO-GSPT	NN	NN_w_DOut	TNEAT	SLIM	SLM
4.718685150146484	6.58236026763916	46.87297821044922	4.013261318206787	6.202836513519287	6.768215179443359
4.417588710784912	6.816999912261963	38.77462387084961	4.92848014831543	6.787344455718994	6.823851585388184
4.641573905944824	6.877316951751709	39.92443084716797	4.946038722991943	32.61823654174805	6.52220344543457
4.397532939910889	6.813223361968994	41.137733459472656	4.737000942230225	6.4019036293029785	6.793621063232422
4.357354164123535	6.473568916320801	59.75718307495117	5.170586109161377	6.449240207672119	6.275582790374756
4.877758979797363	96.97756958007812	42.05767440795898	4.586668491363525	25.82948112487793	6.292492389678955
4.616400718688965	6.902388095855713	95.95222473144533	4.852980613708496	5.809821605682373	6.784125328063965
4.613587856292725	7.166140556335449	33.98073959350586	4.799209117889404	16.537092208862305	7.250164985656738
4.515960693359375	6.817002296447754	95.80432891845705	4.716731548309326	5.989223957061768	6.494394779205322
4.50856351852417	96.94094848632812	33.722537994384766	4.7992353439331055	6.886930465698242	7.005071640014648
4.230398178100586	95.0375747680664	42.49534225463867	4.804214477539063	6.016592502593994	6.917320728302002
4.942387104034424	7.049520969390869	41.33643341064453	4.835229873657227	6.742306232452393	7.173161506652832
4.711640357971191	7.062582492828369	39.72476196289063	5.233642101287842	6.777400970458984	6.860849380493164
4.389898300170898	96.4552993774414	33.64676284790039	5.143289089202881	18.10382461547852	6.844830513000488
4.736935615539551	6.9990315437316895	57.52165603637695	4.878593444824219	29.70060157775879	7.116028785705566
4.777541160583496	96.03742218017578	38.25639343261719	4.809475898742676	7.115541934967041	6.903123378753662
4.711577415466309	7.076656341552734	47.4752082824707	4.986695289611816	6.368661403656006	6.547608375549316
4.616400718688965	96.49064636230467	96.50652313232422	5.248990058898926	6.361623764038086	6.791396617889404
4.417588710784912	7.164570331573486	21.732017517089844	4.8878173828125	6.751418113708496	6.986631870269775
4.777541160583496	6.942741870880127	51.55649185180664	4.614612579345703	15.596771240234377	7.080484867095947
4.942387104034424	6.999884128570557	57.685306549072266	4.591335296630859	18.381574630737305	6.904514312744141
4.641573905944824	6.876101493835449	35.10548782348633	4.795130252838135	6.60752534866333	7.214005470275879
4.357354164123535	6.874910354614258	34.721588134765625	4.8353776931762695	5.365915775299072	7.138377189636231
4.515960693359375	7.406932353973389	96.28189849853516	4.428948402404785	6.321799755096436	7.3092145919799805
4.877758979797363	34.89816665649414	34.713905334472656	5.2880377769470215	6.39969539642334	7.432530879974365
4.397532939910889	34.7525634765625	33.908329010009766	4.587810039520264	6.587042331695557	7.518883228302002
4.613587856292725	96.00862884521484	39.48099136352539	4.94276237487793	6.727421283721924	7.200180530548096
4.389898300170898	33.908329010009766	96.98460388183594	4.556946754455566	31.223031997680664	6.949267387390137
4.736935615539551	96.98460388183594	42.74275588989258	4.704638957977295	6.337279319763184	6.933717250823975
4.50856351852417	42.74275588989258	58.96823120117188	4.717568874359131	7.212739944458008	7.153746604919434
