NEVO-GSPT	NN	NN_w_DOut	TNEAT	SLIM	SLM
33.69849395751953	28.470386505126957	43.09661102294922	145.3409424	32.38810729980469	36.31000900268555
32.933101654052734	28.746753692626957	38.32340621948242	102.1470261	28.3498649597168	30.16895294189453
34.41135787963867	28.99188995361328	36.93035507202149	101.7801819	28.703384399414062	27.819089889526367
32.6937370300293	28.034761428833008	59.3493537902832	107.0571213	31.92553329467773	31.03392601013184
34.69882583618164	32.52268981933594	68.3908920288086	133.71138	27.385900497436523	29.409578323364254
32.12392044067383	68.09314727783203	39.455657958984375	95.7297821	35.11899948120117	29.151914596557617
27.884323120117188	27.721126556396484	35.27312469482422	132.2812805	27.61969757080078	27.37683868408203
33.31985092163086	29.446760177612305	43.27594375610352	117.0286789	30.346363067626957	28.475322723388672
33.04519271850586	30.781967163085938	49.81583404541016	98.57711029	28.849672317504883	32.790191650390625
31.51676750183105	30.741586685180664	69.03290557861328	93.19789886	31.053497314453125	26.91585922241211
32.53398513793945	29.062353134155277	52.65061950683594	87.762146	31.097171783447266	31.52199363708496
37.519474029541016	30.56972312927246	39.50162887573242	103.5742569	30.49835777282715	29.508150100708008
31.95558357238769	31.91205406188965	48.65339660644531	103.5432358	31.91715240478516	29.566041946411133
32.16206741333008	31.116477966308597	50.53145217895508	133.7695618	29.12775421142578	31.213228225708008
35.76787567138672	65.52378845214844	36.9147834777832	133.7695618	31.655033111572266	28.57936286926269
36.96289825439453	31.064682006835938	56.04862594604492	95.11765289	32.222293853759766	28.64288330078125
43.13845443725586	29.2814884185791	51.188323974609375	95.11765289	33.28907012939453	30.148860931396484
31.846412658691406	30.52811622619629	42.32529830932617	92.37947845	30.51812744140625	27.653913497924805
34.67427444458008	32.772151947021484	63.2934455871582	92.37947845	32.8631477355957	28.780649185180664
35.339054107666016	29.560667037963867	34.76534652709961	106.1457901	28.73868560791016	33.12259292602539
35.373043060302734	33.299293518066406	53.92954635620117	93.70515442	33.97951889038086	31.43696975708008
33.629486083984375	32.77362060546875	40.57715225219727	85.52876282	34.04533767700195	30.29716110229492
34.84430313110352	28.852354049682617	48.82392501831055	92.01745605	29.0706844329834	34.30921936035156
34.761661529541016	28.67593002319336	50.92764663696289	93.9441452	28.833526611328125	29.171215057373047
33.50434494018555	30.250843048095703	38.7664909362793	100.9502792	30.24469375610352	29.969881057739254
29.70700454711914	32.51551055908203	34.902530670166016	103.8097992	32.669315338134766	34.270198822021484
36.460086822509766	31.360790252685547	43.85622024536133	124.8806381	29.93753242492676	30.89381980895996
34.35846710205078	66.8504409790039	42.83171081542969	120.3842087	32.63014602661133	31.997182846069336
37.088523864746094	30.62247085571289	43.09036636352539	95.11765289	30.587366104125977	31.60845375061035
36.86856460571289	31.04874038696289	40.18227767944336	92.37947845	31.012348175048828	30.99148941040039
